Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity
1642727193280,,4548.5712890625
1642727193270,7.375,
1642727193262,,4548.5712890625
1642727193173,7.625,
1642727193166,,4548.5712890625
1642727193152,8.375,
1642727193144,,4542.85693359375
1642727193059,8,
1642727193053,,4542.85693359375
1642727193033,8.9375,
1642727193026,,4537.142578125
1642727192941,8.40625,
1642727192934,,4542.857421875
1642727192911,7.96875,
1642727192904,,4542.85791015625
1642727192824,9.21875,
1642727192818,,4542.85791015625
1642727192787,8.9375,
1642727192781,,4542.857421875
1642727192704,10.59375,
1642727192696,,4537.14306640625
1642727192666,7.6875,
1642727192659,,4542.85693359375
1642727192590,10.53125,
1642727192583,,4537.14306640625
1642727192544,10.53125,
1642727192538,,4542.857421875
1642727192473,8.25,
1642727192465,,4542.85693359375
1642727192427,9.09375,
1642727192420,,4542.857421875
1642727192353,6.125,
1642727192346,,4548.57080078125
1642727192312,7.90625,
1642727192305,,4542.857421875
1642727192238,7.1875,
1642727192232,,4548.5712890625
1642727192193,7.5625,
1642727192187,,4554.2861328125
1642727192120,8.34375,
1642727192112,,4554.28662109375
1642727192078,7.40625,
1642727192072,,4554.28564453125
1642727191999,8.71875,
1642727191992,,4560.0009765625
1642727191961,8.90625,
1642727191955,,4554.28662109375
1642727191879,9.625,
1642727191872,,4560.00048828125
1642727191836,8.65625,
1642727191828,,4560.00146484375
1642727191762,6.875,
1642727191755,,4560.0009765625
1642727191718,8.40625,
1642727191711,,4565.71435546875
1642727191645,7.65625,
1642727191639,,4565.71533203125
1642727191594,7.1875,
1642727191587,,4565.71435546875
1642727191529,6.46875,
1642727191522,,4565.71484375
1642727191477,7,
1642727191470,,4565.71435546875
1642727191413,9.40625,
1642727191405,,4565.71435546875
1642727191360,7.125,
1642727191354,,4560
1642727191295,8.3125,
1642727191289,,4565.71484375
1642727191244,8,
1642727191237,,4565.71484375
1642727191179,7.6875,
1642727191172,,4565.71533203125
1642727191127,8.875,
1642727191120,,4565.71533203125
1642727191063,7.15625,
1642727191056,,4565.71484375
1642727191011,9.28125,
1642727191004,,4565.71484375
1642727190946,6.125,
1642727190939,,4565.7158203125
1642727190894,7.71875,
1642727190887,,4565.71484375
1642727190830,7.3125,
1642727190822,,4571.4296875
1642727190777,7.34375,
1642727190771,,4571.4296875
1642727190713,7.71875,
1642727190706,,4565.71484375
1642727190661,9.28125,
1642727190654,,4565.71484375
1642727190597,6.46875,
1642727190589,,4565.71484375
1642727190544,9.5,
1642727190538,,4565.71484375
1642727190479,7.28125,
1642727190473,,4571.42919921875
1642727190428,8.71875,
1642727190421,,4565.71484375
1642727190353,7.28125,
1642727190347,,4565.71484375
1642727190312,6.625,
1642727190306,,4565.71484375
1642727190234,6.1875,
1642727190226,,4565.71484375
1642727190196,8.28125,
1642727190189,,4565.7158203125
1642727190115,8.84375,
1642727190108,,4571.4296875
1642727190077,10.1875,
1642727190070,,4571.4296875
1642727190000,8.75,
1642727189993,,4565.71484375
1642727189962,8.25,
1642727189955,,4571.42919921875
1642727189879,6.65625,
1642727189872,,4565.71484375
1642727189846,8.625,
1642727189839,,4565.71484375
1642727189765,7.71875,
1642727189758,,4571.4296875
1642727189727,7.34375,
1642727189721,,4565.71533203125
1642727189644,7.4375,
1642727189637,,4571.42919921875
1642727189613,9.6875,
1642727189606,,4571.42919921875
1642727189529,7.90625,
1642727189523,,4565.71484375
1642727189496,8.59375,
1642727189489,,4565.71484375
1642727189413,7.46875,
1642727189407,,4560.00048828125
1642727189377,7.78125,
1642727189370,,4560.00146484375
1642727189297,6.65625,
1642727189290,,4560.0009765625
1642727189258,7.28125,
1642727189251,,4560.0009765625
1642727189175,7.84375,
1642727189167,,4560.00146484375
1642727189137,7.5625,
1642727189130,,4560.00146484375
1642727189053,7.5,
1642727189046,,4560.0009765625
1642727189021,7.375,
1642727189014,,4560.0009765625
1642727188936,7,
1642727188929,,4554.28515625
1642727188906,8.03125,
1642727188900,,4554.2861328125
1642727188815,8.96875,
1642727188808,,4548.5712890625
1642727188791,9.0625,
1642727188784,,4548.5712890625
1642727188699,9.96875,
1642727188692,,4548.5712890625
1642727188677,8.03125,
1642727188671,,4548.5712890625
1642727188584,9.84375,
1642727188577,,4542.857421875
1642727188562,8.09375,
1642727188555,,4542.85693359375
1642727188468,8.875,
1642727188462,,4537.14306640625
1642727188447,7.5625,
1642727188440,,4525.71435546875
1642727188353,7.78125,
1642727188346,,4514.28564453125
1642727188323,8.40625,
1642727188317,,4514.2861328125
1642727188232,8.8125,
1642727188225,,4502.857421875
1642727188202,8.84375,
1642727188195,,4497.1435546875
1642727188118,8.25,
1642727188111,,4485.7138671875
1642727188081,8.625,
1642727188074,,4479.99951171875
1642727188004,9.21875,
1642727187995,,4451.4287109375
1642727187961,8.9375,
1642727187955,,4451.4287109375
1642727187861,8.90625,
1642727187854,,4405.71484375
